date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:57:17	42782/42782	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:27:18%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Main-Italic.woff2	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Main-Italic.woff2	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
21:57:18	42780/42780	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:27:19%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Main-Italic.woff	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Main-Italic.woff	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
21:57:19	42778/42778	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:27:20%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Main-Italic.ttf	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Main-Italic.ttf	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
21:57:20	42780/42780	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:27:21%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Main-Regular.eot	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Main-Regular.eot	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
21:57:20	31220/31220	---M--	200	added ('OK')	font/woff2	etag:%22155c166e-79f4-565b79615b6aa%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Main-Regular.woff2	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Main-Regular.woff2	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
21:57:21	42782/42782	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:27:22%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Main-Regular.woff	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Main-Regular.woff	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
21:57:22	42780/42780	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:27:23%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Main-Regular.ttf	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Main-Regular.ttf	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
21:57:24	42778/42778	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:27:24%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Math-Italic.eot	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Math-Italic.eot	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
21:57:24	20432/20432	---M--	200	added ('OK')	font/woff2	etag:%22155c166f-4fd0-565b79615b6aa%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Math-Italic.woff2	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Math-Italic.woff2	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
21:57:25	42780/42780	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:27:26%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Math-Italic.woff	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Math-Italic.14c.delayed	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
21:57:26	42778/42778	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:27:27%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Math-Italic.ttf	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Math-Italic.ttf	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
21:57:28	42790/42790	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:27:28%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_SansSerif-Regular.eot	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_SansSerif-Regular.eot	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
21:57:29	42794/42794	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:27:30%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_SansSerif-Regular.woff2	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_SansSerif-Regular.woff2	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
21:57:30	42792/42792	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:27:31%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_SansSerif-Regular.woff	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_SansSerif-Regular.woff	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
21:57:31	42790/42790	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:27:32%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_SansSerif-Regular.ttf	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_SansSerif-Regular.ttf	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
